dataset,group,shape,nnz,format,mode,cores,scf_median_s,splyce_median_s
Pres_Poisson,ACUSIM,14822x14822,715804,dense,multicore,32,2.435729,1.858303
3elt,AG-Monien,4720x4720,27444,dense,multicore,32,0.101639,0.100844
G2_circuit,AMD,150102x150102,726674,dense,multicore,32,113.374682,112.882925
onetone1,ATandT,36057x36057,335552,dense,multicore,32,6.96466,6.519158
Alemdar,Alemdar,6245x6245,42581,dense,multicore,32,0.240436,0.217564
Andrews,Andrews,60000x60000,760154,dense,multicore,32,29.923779,23.920949
net100,Andrianov,29920x29920,2033200,dense,multicore,32,31.548275,22.011622
jazz,Arenas,198x198,5484,dense,multicore,32,0.000821,0.00037
epb1,Averous,14734x14734,95053,dense,multicore,32,1.006424,1.014164
cdde3,Bai,961x961,4681,dense,multicore,32,0.001536,0.001418
NotreDame_yeast,Barabasi,2114x2114,4480,dense,multicore,32,0.02373,0.021538
Chem97ZtZ,Bates,2541x2541,7361,dense,multicore,32,0.043963,0.044397
human_gene1,Belcastro,22283x22283,24669643,dense,multicore,32,235.303704,104.931732
ted_A,Bindel,10605x10605,424587,dense,multicore,32,1.711232,1.172671
bcsstk38,Boeing,8032x8032,355460,dense,multicore,32,0.747432,0.551822
circuit_1,Bomhof,2624x2624,35823,dense,multicore,32,0.19657,0.12666
thermomech_TK,Botonakis,102158x102158,711558,dense,multicore,32,59.892769,56.159939
rma10,Bova,46835x46835,2329092,dense,multicore,32,32.804634,22.006961
coater1,Brethour,1348x1348,19457,dense,multicore,32,0.009731,0.00444
thermal,Brunetiere,3456x3456,66528,dense,multicore,32,0.092768,0.074314
cz2548,CPM,2548x2548,25674,dense,multicore,32,0.031356,0.03114
sts4098,Cannizzo,4098x4098,72356,dense,multicore,32,0.144386,0.109831
denormal,Castrillon,89400x89400,1156224,dense,multicore,32,41.779747,43.580318
pkustk03,Chen,63336x63336,3130416,dense,multicore,32,43.935742,34.808373
cdde1,Bai,961x961,4681,dense,multicore,32,0.000815,0.00121
ted_B_unscaled,Bindel,10605x10605,144579,dense,multicore,32,0.612921,0.591868
vibrobox,Cote,12328x12328,301700,dense,multicore,32,1.752423,1.234647
k3plates,Cunningham,11107x11107,378927,dense,multicore,32,1.050442,0.86523
s2rmt3m1,Cylshell,5489x5489,217681,dense,multicore,32,0.309514,0.2212
thread,DNVS,29736x29736,4444880,dense,multicore,32,33.335725,19.499097
cavity10,DRIVCAV,2597x2597,76171,dense,multicore,32,0.053715,0.044318
ifiss_mat,Embree,96307x96307,3599932,dense,multicore,32,121.836873,84.510493
airfoil_2d,Engwirda,14214x14214,259688,dense,multicore,32,1.358196,1.194388
sme3Da,FEMLAB,12504x12504,874887,dense,multicore,32,5.228314,2.670701
ex10,FIDAP,2410x2410,54840,dense,multicore,32,0.040276,0.034551
uni_chimera_i1,FlowIPM22,100000x100000,1100592,dense,multicore,32,78.088197,64.925769
PR02R,Fluorem,161070x161070,8185136,dense,multicore,32,314.65419,260.996927
ncvxqp5,GHS_indef,62500x62500,424966,dense,multicore,32,21.502419,20.461646
copter2,GHS_psdef,55476x55476,759952,dense,multicore,32,21.622288,18.104771
pesa,Gaertner,11738x11738,79566,dense,multicore,32,0.720748,0.691153
garon1,Garon,3175x3175,84723,dense,multicore,32,0.12774,0.082108
goodwin,Goodwin,7320x7320,324772,dense,multicore,32,0.574169,0.441125
graham1,Graham,9035x9035,335472,dense,multicore,32,1.063897,0.749356
windtunnel_evap2d,Grueninger,8256x8256,109368,dense,multicore,32,0.827037,0.588792
bayer06,Grund,3008x3008,20715,dense,multicore,32,0.063194,0.062886
G37,Gset,2000x2000,23570,dense,multicore,32,0.044237,0.028955
TEM152078,Guettel,152078x152078,6459326,dense,multicore,32,251.460249,208.71324
gupta2,Gupta,62064x62064,4248286,dense,multicore,32,137.669789,93.560572
1138_bus,HB,1138x1138,4054,dense,multicore,32,0.003212,0.002449
hvdc1,HVDC,24842x24842,158426,dense,multicore,32,3.48722,3.269424
memplus,Hamm,17758x17758,99147,dense,multicore,32,3.694651,3.209187
Hamrle2,Hamrle,5952x5952,22162,dense,multicore,32,0.16543,0.160613
fd18,Hohn,16428x16428,63406,dense,multicore,32,1.246603,1.240112
jan99jac100sc,Hollinger,34454x34454,190224,dense,multicore,32,5.684803,5.644186
coupled,IBM_Austin,11341x11341,97193,dense,multicore,32,0.983351,0.865906
trans5,IBM_EDA,116835x116835,749800,dense,multicore,32,108.907216,99.760083
bibd_81_2,JGD_BIBD,3240x3240,3240,dense,multicore,32,0.042147,0.043031
CAG_mat364,JGD_CAG,364x364,13585,dense,multicore,32,0.003115,0.001554
n3c6-b7,JGD_Homology,6435x6435,51480,dense,multicore,32,0.196354,0.193916
cat_ears_2_1,JGD_Margulies,85x85,254,dense,multicore,32,6.1e-05,0.000107
EX3,JGD_SPG,2600x2600,71760,dense,multicore,32,0.077546,0.052346
Trefethen_300,JGD_Trefethen,300x300,4678,dense,multicore,32,0.000934,0.000267
F2,Koutsovasilis,71505x71505,5294285,dense,multicore,32,185.871645,108.52117
comsol,Langemyr,1500x1500,97645,dense,multicore,32,0.062789,0.026832
LeGresley_4908,LeGresley,4908x4908,30482,dense,multicore,32,0.145887,0.129459
li,Li,22695x22695,1215181,dense,multicore,32,7.572762,5.408581
