dataset,group,matrix_dim,matrix_nnz,matrix_sparsity,vector_nnz,vector_sparsity,mode,cores,scf_median_s,splyce_median_s
Pres_Poisson,ACUSIM,14822,715804,0.9967417792655274,59,0.9967417792655274,multicore,32,0.000222,0.000163
3elt,AG-Monien,4720,27444,0.9987681341568515,5,0.9987681341568515,multicore,32,1.6e-05,1.5e-05
G2_circuit,AMD,150102,726674,0.9999677472564227,5,0.9999677472564227,multicore,32,0.000191,0.000176
onetone1,ATandT,36057,335552,0.9997419043696141,8,0.9997419043696141,multicore,32,8.3e-05,7.3e-05
Alemdar,Alemdar,6245,42581,0.998908180187064,4,0.998908180187064,multicore,32,1.9e-05,1.7e-05
Andrews,Andrews,60000,760154,0.9997888461111111,18,0.9997888461111111,multicore,32,0.000321,0.000168
net100,Andrianov,29920,2033200,0.9977287919299951,73,0.9977287919299951,multicore,32,0.001006,0.000923
jazz,Arenas,198,5484,0.8601163146617692,28,0.8601163146617692,multicore,32,8e-06,1e-05
epb1,Averous,14734,95053,0.9995621508637613,8,0.9995621508637613,multicore,32,3.8e-05,3.2e-05
cdde1,Bai,961,4681,0.9949313551072472,9,0.9949313551072472,multicore,32,8e-06,8e-06
Chem97ZtZ,Bates,2541,7361,0.9988599405793782,2,0.9988599405793782,multicore,32,1.1e-05,1.1e-05
human_gene1,Belcastro,22283,24669643,0.9503161154202866,1109,0.9503161154202866,multicore,32,0.010706,0.006624
BenElechi1,BenElechi,245874,13150496,0.9997824711217408,52,0.9997824711217408,multicore,32,0.006048,0.005432
ted_B_unscaled,Bindel,10605,144579,0.9987144651017941,14,0.9987144651017941,multicore,32,0.000134,0.000113
CurlCurl_2,Bodendiek,806529,8921789,0.9999862844896407,12,0.9999862844896407,multicore,32,0.003088,0.002403
bcsstk38,Boeing,8032,355460,0.9944901048197647,48,0.9944901048197647,multicore,32,0.000251,0.000165
circuit_1,Bomhof,2624,35823,0.9947972340217877,17,0.9947972340217877,multicore,32,7.5e-05,8e-05
thermomech_TK,Botonakis,102158,711558,0.9999318186585042,12,0.9999318186585042,multicore,32,0.000558,0.00038
atmosmodj,Bourchtein,1270432,8814880,0.9999945384796555,13,0.99999,multicore,32,0.00451,0.003506
rma10,Bova,46835,2329092,0.9989381929745275,39,0.9989381929745275,multicore,32,0.001214,0.000671
coater1,Brethour,1348,19457,0.9892923024769084,15,0.9892923024769084,multicore,32,9.5e-05,5.2e-05
thermal,Brunetiere,3456,66528,0.9944299768518519,23,0.9944299768518519,multicore,32,7.9e-05,6.4e-05
t2em,CEMW,921632,4590832,0.9999945952413007,11,0.99999,multicore,32,0.001925,0.001917
cz2548,CPM,2548,25674,0.9960454716846284,11,0.9960454716846284,multicore,32,5.6e-05,5.7e-05
sts4098,Cannizzo,4098,72356,0.9956914549134301,21,0.9956914549134301,multicore,32,8.1e-05,7.1e-05
denormal,Castrillon,89400,1156224,0.9998553338438209,13,0.9998553338438209,multicore,32,0.000621,0.000423
pkustk03,Chen,63336,3130416,0.9992196295949024,47,0.9992196295949024,multicore,32,0.001648,0.000784
k3plates,Cunningham,11107,378927,0.9969284187503747,41,0.9969284187503747,multicore,32,0.000264,0.000143
