dataset,group,matrix_dim,matrix_nnz,matrix_sparsity,tensor_b_nnz,tensor_b_sparsity,mode,cores,scf_median_s,splyce_median_s
3elt,AG-Monien,4720,27444,0.9987681341568515,129530409,0.9987681341568515,multicore,32,0.211817,0.207565
Alemdar,Alemdar,6245,42581,0.998908180187064,265941590,0.998908180187064,multicore,32,0.781853,0.684927
jazz,Arenas,198,5484,0.8601163146617692,1085784,0.8601163146617692,multicore,32,0.010802,0.005504
cdde1,Bai,961,4681,0.9949313551072472,4496262,0.9949313551072472,multicore,32,0.003993,0.003711
NotreDame_yeast,Barabasi,2114,4480,0.9989975377019805,9468799,0.9989975377019805,multicore,32,0.027737,0.028017
Chem97ZtZ,Bates,2541,7361,0.9988599405793782,18707865,0.9988599405793782,multicore,32,0.04312,0.042651
ted_B_unscaled,Bindel,10605,144579,0.9987144651017941,1533286231,0.9987144651017941,multicore,32,2.599887,2.547966
circuit_1,Bomhof,2624,35823,0.9947972340217877,93995484,0.9947972340217877,multicore,32,0.35029,0.274301
coater1,Brethour,1348,19457,0.9892923024769084,26227011,0.9892923024769084,multicore,32,0.076471,0.060115
thermal,Brunetiere,3456,66528,0.9944299768518519,229910540,0.9944299768518519,multicore,32,0.980154,0.653405
cz2548,CPM,2548,25674,0.9960454716846284,65408629,0.9960454716846284,multicore,32,0.125945,0.11188
sts4098,Cannizzo,4098,72356,0.9956914549134301,296495558,0.9956914549134301,multicore,32,1.376554,0.924035
s2rmt3m1,Cylshell,5489,217681,0.9927750630361901,1194866110,0.9927750630361901,multicore,32,6.822528,5.435085
cavity10,DRIVCAV,2597,76171,0.9887060526726656,197831639,0.9887060526726656,multicore,32,0.927007,0.636307
ex10,FIDAP,2410,54840,0.9905580138083022,132160062,0.9905580138083022,multicore,32,0.491842,0.362823
pesa,Gaertner,11738,79566,0.999422516852222,933961554,0.999422516852222,multicore,32,2.398694,2.09614
garon1,Garon,3175,84723,0.9915954615909232,268988060,0.9915954615909232,multicore,32,2.097644,1.15924
windtunnel_evap2d,Grueninger,8256,109368,0.9983954586938886,902931540,0.9983954586938886,multicore,32,6.47961,4.853021
bayer06,Grund,3008,20715,0.9977105599606723,62306729,0.9977105599606723,multicore,32,0.171073,0.158645
G37,Gset,2000,23570,0.9941075,47149524,0.9941075,multicore,32,0.182516,0.134148
